Accession	LineName	VanillicAcid	Dihydrokaempferol	SyringicAcid	INAUDPC	WISFinal
Ames30553	W601S	71.19490846	0.078454655	30.74304997	3.1010000000000004	0.03
Ames30555	W603S	115.6283866	0.210594439	18.19937786	78.4	0.0
Ames30556	W604S	130.7920433	0.149935932	23.32658153	33.159	0.02
Ames30557	W605S	66.68672574	0.081772673	21.8021882	28.07	0.0
NSL22630	K150	164.6931687	0.067347537	33.18202631	48.293	0.06333333299999999
NSL22634	K155	152.0694842	0.06936954099999999	47.46643505	28.483	0.0
NSL22635	K41	203.8558273	0.058867938	32.0368317	16.38	0.0
NSL28966	Oh40B	176.5093742	0.083435994	30.50831666	44.331	0.0
NSL30038	K4	162.7231811	0.057981614	28.67865934	31.031	0.0
NSL30053	W22	175.0572615	0.255491818	63.33860155	65.611	0.0
NSL30064	W24	139.53724219999998	0.086053825	24.75180474	170.331	0.02
NSL30065	W9	162.08831809999995	0.126604212	28.60673828	17.101	0.0
NSL30066	WR3	161.83690719999996	0.0643259	24.26210581	84.28	0.0375
NSL30861	A	231.118486	0.054773711	49.96255051	11.942	0.01
NSL30867	M14	218.3711062	0.06523944599999999	51.39816659	32.9	0.0
NSL30868	R30	171.1396796	0.090981803	40.62730745	110.838	0.04
NSL30869	R53	269.4766876	0.128221693	49.31146073	39.662	0.0
NSL30872	R71	252.3956016	0.08525198099999999	32.43011543	128.562	0.04
NSL30876	R78	225.9477091	0.063166389	31.86825234	30.821	0.0
NSL30878	R101	218.4733521	0.12073583	37.05164676	17.059	0.01
NSL30883	R113	255.35877180000003	0.048390261	34.52056317	14.959	0.01
NSL30884	R134	162.1966096	0.068270817	29.76368025	30.583	0.05
NSL30896	R181B	136.44518159999998	0.107091075	27.89505356	233.338	0.02
NSL30902	R197	128.7014994	0.066615148	23.75810168	29.869	0.0
NSL32728	ND230	133.8675193	0.059505385	25.31899297	32.9	0.0
NSL34374	SD15	172.929476	0.357819289	29.53316808	84.49	0.0
NSL42875	A71	248.1816161	0.057487704	34.2372903	3.1010000000000004	0.0
NSL65863	B7	195.0372829	0.06314114400000001	54.97156187	51.793	0.0
NSL65865	B10	175.5209723	0.091660439	31.18752386	77.273	0.0
NSL65866	B14	193.3384415	0.065253992	32.47966669	46.9	0.0
NSL65873	L317	132.2668638	0.081735872	37.04333024	1.75	0.01
NSL81596	A258	159.324342	0.091521541	25.2739426	27.769	0.05
NSL81599	A659	159.2592535	0.065904025	32.26944663	70.238	0.0
PI508277	SD42	184.7062977	-0.081516758	33.28145599	36.169	0.03
PI517968	Pa392	295.6451902	-0.069146769	34.010778	40.159	0.0
PI517971	Pa468	154.4383541	-0.062783168	40.84473934	18.221	0.1
PI517974	Pa880	468.574791	-0.059306426	66.47643256	8.211	0.05
PI520770	W552	100.0824165	-0.073214431	25.61485857	63.7	0.05
PI520774	NC264	58.63419773	-0.066662405	15.13613118	5.46	0.0
PI522250	ND262	114.4492209	-0.076466931	34.90909805	64.169	0.0
PI527699	B90	78.31655256	-0.057535533	18.51495088	2.149	0.0
PI527700	B91	163.5894121	-0.036156105	26.47796216	14.028	0.02
PI531083	Pa891	128.04814679999998	-0.07420793099999999	58.26691977	21.49	0.035
PI531509	R225	481.0889415	-0.05631696200000001	42.55702018	50.393	0.0
PI531510	R226	384.7511529	-0.049258375	49.10466477	44.576	0.08
PI531511	R227	161.0145881	-0.055319182	21.8091258	36.624	0.05
PI533658	SD101	149.1213768	-0.066749537	19.34742926	26.376	0.04
PI533659	SD102	180.1428371	0.01225542	31.95971123	25.739	0.0
PI537097	LH195	86.49970107	1.009976442	37.94957312	11.039	0.0
PI537098	LH204	102.1169441	-0.072440262	25.27191707	42.69300000000001	0.0
PI537099	LH205	126.0604883	-0.068677562	17.55108316	32.9	0.0
PI537100	LH210	87.61090984	-0.035682693	15.88587843	66.962	0.0
PI537101	LH211	70.42387372	10.89010463	30.72743426	21.28	0.02
PI538007	LH127	48.15271899	-0.045877227	21.58924588	72.331	0.075
PI538008	LH163	144.8685413	0.152330869	21.25529049	31.031	0.05
PI538010	LH206	78.47295789	-0.079195995	22.65122257	56.26600000000001	0.0
PI538011	LH220Ht	100.9539329	0.143108708	36.38004031	63.07	0.0
PI539920	LH160	156.08296049999996	-0.062017076	31.25949089	103.369	0.05
PI539921	LH162	159.5528429	0.035044108	6.1272471510000015	112.0	0.0
PI539922	LH190	111.4264549	-0.064863514	15.68833596	13.118	0.03
PI539923	LH194	150.8764403	-0.061418526	32.53459105	19.39	0.0
PI539924	LH202	94.60182898	0.422197556	12.51591027	62.293	0.01
PI539925	LH191	62.47540371	0.562413151	10.84870344	21.707	0.0
PI539926	LH192	119.589091	0.016321632	23.78296577	3.99	0.0
PI539927	LH193	103.3040099	-0.042702916	17.7949585	28.077	0.0
PI543841	PHK46	48.4892298	-0.054002588	19.65224081	28.483	0.0
PI543842	PHK56	143.7409812	-0.061677003	28.16256662	104.3	0.01
PI543843	PHN34	72.3832622	-0.0063832080000000005	34.37484964	5.901	0.0
PI543844	PHN46	212.9311217	-0.029621407	20.58941997	60.9	0.05
PI543845	PHP38	251.1899851	-0.069793617	42.55463625	44.338	0.02
PI543846	PHP76	89.99709602	-0.069139922	15.13015904	100.338	0.04
PI543847	PHV07	111.0137439	-0.073443217	34.86024404	44.82100000000001	0.0
PI543848	PHW06	218.2180005	-0.029965754	46.5011445	45.038	0.02
PI543849	PHW51	147.87583940000005	-0.07613193900000001	32.08467934	93.331	0.01
PI543850	PHW86	165.1317849	-0.030264524	10.85197928	53.669	0.05
PI546483	6F629	103.6431047	0.196900287	17.48180401	4.018	0.01
PI546484	6M502A	116.2950143	0.042432754	32.59698268	74.66199999999998	0.05
PI546485	NL001	113.8606101	0.017818085	26.16023006	46.949	0.02
PI546494	ND265	165.86724180000004	-0.077539895	23.85892105	24.983	0.01
PI547086	LH128	73.19216929	-0.060855163	41.31340056	134.16899999999998	0.08
PI547088	LH208	137.03864030000003	-0.064050627	31.18841893	9.583	0.0
PI547090	LH213	103.5521318	0.13666178199999998	20.36777836	38.5	0.0
PI547107	Lp215D	52.79173361	-0.073300823	37.03118822	63.707	0.026666667
PI548798	PHJ89	61.47771734	-0.066856052	12.66083912	47.838	0.06
PI548799	PHJ90	183.3445016	-0.071695556	30.78303843	37.821	0.05
PI548800	PHK93	87.61460543	-0.077235752	18.79120871	21.49	0.01
PI548801	PHM81	178.6502604	-0.07547975700000001	19.69740109	205.338	0.24
PI548802	PHN66	169.8177503	-0.06774103	15.53240781	44.338	0.02
PI548803	PHR03	136.9936592	-0.08221365900000001	10.28269849	26.369	0.08
PI548804	PHR55	101.9921038	-0.050196256	20.32606585	57.4	0.075
PI548806	PHR61	71.78660055	-0.030218558	18.8136042	43.162	0.0125
PI548807	PHT11	73.14647236	1.347187093	20.09730199	39.942	0.01
PI548808	PHW30	61.12848557	-0.081014643	20.63941217	26.362	0.025
PI548830	29MIBZ2	162.6158427	-0.07563841	41.42834516	116.669	0.0
PI548839	MBUB	64.22640458	-0.059621918	27.19943596	28.287	0.0
PI550440	B64	256.8534897	-0.060228286	71.93249088	16.87	0.0
PI550461	B14A	133.7858193	-0.036801702	27.81318541	33.824	0.0
PI550464	B66	156.8286205	-0.010089764	30.14067384	166.824	0.04
PI550465	B68	248.0543707	-0.066718948	62.83004946	47.838	0.1
PI550470	B54	95.61481943	-0.055019355	8.187590083	23.401	0.0
PI550473	B73	16.17536573	-0.055088444	0.766091218	20.993	0.0
PI550489	ND245	164.45120930000004	-0.012082194	21.63701923	27.083	0.0
PI550490	ND246	225.66033990000003	-0.043712712	32.60366635	32.739000000000004	0.0
PI550526	H110	317.5360852	0.05436137	28.23090403	4.942	0.04
PI550532	ND251	151.53727959999995	-0.018098392	14.64443881	38.5	0.0
PI550555	NC250	204.6150891	0.231940874	14.07572079	40.159	0.0
PI550556	B88	141.472952	0.115095946	8.306912487	16.408	0.0
PI550558	DE811	489.8470879	-0.026283276	64.23566883	79.33800000000002	0.08
PI550567	N193	165.3880501	-0.029238668	37.94704808	56.007	0.0
PI550573	ND260	304.5899195	-0.039135146	77.59444833	173.831	0.0
PI552815	LH215	173.9612994	0.101967014	49.84044764	44.331	0.03
PI554615	MM402A	144.0875608	-0.042439967	40.58318089	23.611	0.0575
PI564852	B101	239.9229801	0.061750491	22.9625405	8.029	0.0
PI565087	8M129	104.2567626	0.5208679829999999	41.64789006	39.739	0.01
PI565088	2MCDB	32.25685714	0.124947325	15.62007569	59.03100000000001	0.1
PI565099	PHVJ4	290.606617	0.055959685	73.2039813	42.497	0.01
PI565100	PHAW6	199.3751734	0.049306954000000014	22.19335353	74.9	0.02
PI565101	PHEM9	262.3443937	0.421539026	45.63492638	156.338	0.16
PI565102	PHEW7	54.61246367	0.066301496	55.85461193	28.056	0.0
PI565103	PHFA5	156.8267062	0.072315787	31.33539342	119.007	0.01
PI565104	PHHB9	107.0322137	0.115543174	42.75204184	65.408	0.07
PI565106	PHJR5	109.3332148	0.375574595	17.54976566	61.13800000000001	0.01
PI565107	PHKE6	125.8302825	0.052035186	53.09165388	87.5	0.02
PI565109	PHN41	42.97880618	0.13729239599999998	26.88344817	7.812	0.0125
PI565110	PHRE1	218.1086727	0.282371377	66.98528917	35.077	0.01
PI565111	PHV57	107.7281008	0.056355206	49.6638515	86.57600000000002	0.01
PI565112	PHW53	266.9276446	0.154011123	69.86345542	81.669	0.05
PI565113	PHW80	111.6344408	0.26168887	44.86184491	28.238000000000003	0.0
PI566939	CQ806	96.98009292	0.07305069	33.10802461	56.238	0.01
PI566940	NQ402	132.9830412	0.057347931	31.01302485	58.331	0.02
PI574390	LH218	268.198566	0.068684022	20.01191847	94.5	0.04
PI574391	LH225	137.9884315	0.848567702	29.3498816	71.16199999999998	0.0
PI576171	LH185	142.3676907	0.08694380300000001	75.04063731	37.352	0.0
PI576172	LH186	151.972058	0.067281198	196.8924525	73.738	0.05
PI578029	PHBB3	122.4182487	0.051770094	12.75463211	49.0	0.01
PI578031	PHAA0	206.52186	0.08072753	65.21113213	84.23100000000002	0.01
PI578033	PHHB4	145.258154	0.068501663	61.49969799	137.907	0.01
PI578034	PHTE4	135.6619799	0.057045105	43.03930725	54.159	0.01
PI578035	PHTD5	186.1940896	0.054243759	35.5629134	107.338	0.04
PI578037	PHKM5	173.96771280000004	0.076858325	18.86267474	32.9	0.01
PI583350	Mo45	54.91387056	0.069869796	43.76844392	16.093	0.02
PI583352	Mo46	271.09915730000006	0.047132294000000005	39.53430647	112.007	0.04
PI583356	AM0776	349.84810689999995	0.08813264	65.77991498	56.0	0.05
PI583773	OQ601	187.4890447	0.061777768	34.03593818	56.28	0.01
PI583872	LH175	68.78498539	0.06826701	48.37468882	39.669	0.01
PI583874	LH250	285.1405027	0.127860084	104.9111485	70.0	0.07
PI584325	L222	57.47519502	0.072997202	29.70484282	58.338	0.01
PI584528	B99	151.9278139	0.079269694	39.57474179	45.03100000000001	0.05
PI585224	LH188	101.4246698	0.057358273	10.78630139	73.72399999999998	0.025
PI585226	LH231	53.66540872	0.090267103	14.16715091	15.477	0.0125
PI587124	CM105	108.1665998	0.274267359	12.80505598	31.031	0.0
PI587128	H84	155.78322759999998	0.924383247	19.34983215	130.662	0.0375
PI587129	H99	48.17422194	0.095404244	10.91157272	35.063	0.02
PI587138	A554	332.7593189	0.071407172	101.9991395	30.807	0.01
PI587142	A679	198.664825	0.047796959000000014	14.43753471	35.238	0.1
PI587143	A682	145.5254477	0.182509555	36.24151095	36.442	0.03
PI587144	Mo24W	207.6124856	0.114426395	44.60161414	58.331	0.04
PI587152	W64A	159.8520408	0.062233555	19.78902087	131.83100000000002	0.05
PI587154	W153R	53.06676827	0.075474869	57.55676204	43.42100000000001	0.05
PI587155	W182BN	219.2769058	0.089463851	38.66589811	91.0	0.08
PI591619	ZS1791	56.31227137	0.144390209	29.32299797	21.7	0.0125
PI592734	R229	135.56060549999998	0.046413145	26.31892186	5.859	0.0
PI594047	B104	186.6420002	0.078660651	12.93011634	37.331	0.08
PI594048	B105	162.0913114	0.091981127	18.50484028	17.57	0.0
PI594049	B106	170.19253419999995	0.05754450000000001	13.43048278	46.907	0.02
PI594050	N501	269.7987859	0.07266252	28.69663189	73.962	0.04
PI594080	N534	299.1472527	0.059783731	20.14987778	119.0	0.33
PI594084	N538	131.40168390000002	0.058991724	13.74006853	86.331	0.0375
PI594088	N542	271.1953505	0.07044305099999999	37.42361861	16.121	0.0325
PI594091	N545	174.1644517	0.053543927000000005	28.61799044	33.152	0.03
PI595366	N209	206.409505	0.061714091	24.90567691	60.9	0.09
PI595616	ZS01250	195.1847166	0.07026421599999999	79.82678861	49.007	0.03
PI596356	N217	190.6161606	0.049479286	24.52800694	70.238	0.0
PI596357	N218	134.7303405	0.066332385	27.21581522	29.449	0.0
PI596506	OC19	861.4877111	0.434791049	31.68369842	2.919	0.0
PI597925	B107	303.8971862	0.047480943	59.48534486	136.507	0.0
PI597927	B109	124.1673508	0.08500886699999999	22.22066259	50.631	0.01
PI600772	FR19	252.4608686	0.04886698	29.35486365	60.9	0.01
PI600791	LH38	111.47664070000002	0.08657776699999999	36.40227036	50.218	0.0
PI600944	LH39	58.12550757	0.323957408	37.16868303	63.007	0.05
PI600954	LH119	122.4162282	0.14730702	20.85912411	21.7	0.01
PI600955	LH51	234.9757816	0.153831313	24.21476714	69.3	0.033333333
PI600959	LH145	216.0564057	0.057837059	33.55391781	30.408	0.02
PI601004	LH132	148.77960480000004	0.06759823	27.0869832	19.901	0.0
PI601005	PH207	253.1074204	0.070654649	37.77330833	79.331	0.05
PI601009	PHB47	109.4770995	0.236867377	42.57983532	91.0	0.1
PI601026	F42	102.5794852	0.06781808	28.91582596	9.373	0.0
PI601079	LH123HT	174.5599676	0.058252439	43.9633472	51.8	0.08
PI601080	CR1HT	137.5081355	0.06501250900000001	9.783381257	53.669	0.06
PI601171	LH93	212.6989929	0.145513248	54.83156642	18.732	0.066666667
PI601209	MBNA	202.24065880000003	0.086491353	18.67142772	52.507	0.0
PI601211	78010	215.0695215	0.062069349	35.03596082	29.624	0.025
PI601269	5707	145.26468459999995	0.057783252	54.8848164	84.0	0.0
PI601300	4676A	59.91427185	0.050896396	28.38472757	68.83800000000001	0.0
PI601316	LH54	161.0543267	0.088917614	44.55241825	62.3	0.0
PI601317	LH57	200.9135448	0.050958374	24.51539117	19.152	0.0
PI601321	PHJ40	189.7950216	0.0814673	30.15882519	32.739000000000004	0.0
PI601322	PHZ51	227.9467526	0.053655998	21.44230916	59.5	0.08
PI601360	LH52	156.43504330000005	0.856186722	72.75401851	50.624	0.025
PI601361	PHR36	168.745502	0.057651563	25.22877179	88.9	0.05
PI601362	PHW17	184.8838868	0.475091616	23.4849876	10.297	0.0
PI601377	794	140.1357695	0.109125651	27.00429246	26.362	0.0
PI601378	LP5	152.6628102	0.120823095	28.87669039	49.497	0.016666667
PI601404	LH60	150.6073342	0.08419579599999999	30.97103271	62.3	0.06
PI601416	LH61	163.6201541	0.232349821	29.96947832	59.03100000000001	0.02
PI601438	78371A	137.1931005	0.091408357	33.66684211	119.238	0.01
PI601442	PHG86	148.69086769999996	0.309555175	35.15078643	23.387	0.0
PI601458	IBB15	153.4481511	0.085083571	37.14632307	70.469	0.01
PI601459	IBC2	155.7732665	0.048403812	31.91873183	101.5	0.05
PI601468	PHK29	157.43525380000003	0.085705424	33.84285202	64.624	0.0
PI601469	PHR25	240.40783540000004	0.074089356	40.98086995	86.331	0.02
PI601489	740	186.1201317	1.103174498	31.43564292	30.401	0.03
PI601490	790	193.5244447	0.101335971	42.5214554	39.921	0.0
PI601490	787	193.5244447	0.101335971	42.5214554	39.921	0.0
PI601492	793	189.0664422	0.076042186	38.91527566	102.669	0.0
PI601493	LH149	232.2033861	0.06313184299999999	34.85354938	49.7	0.0
PI601495	PHK42	297.6079346	0.071603986	42.21749674	127.169	0.04
PI601496	PHK76	156.5204456	0.227656181	33.05664372	91.0	0.01
PI601497	PHN11	154.1882125	0.070576586	28.14040906	52.03100000000001	0.01
PI601498	PHT55	159.68336530000005	0.331280584	28.53912873	8.218	0.0
PI601500	PHV63	154.4786337	0.086880267	28.21237389	23.618	0.03
PI601502	W8304	195.5835411	0.074339334	37.422661	60.893	0.0
PI601558	11430	139.47864119999997	0.071613904	31.9348369	72.331	0.05
PI601560	2MA22	141.3373441	0.099526062	31.40043186	173.831	0.05
PI601561	6M502	164.9244306	0.08323259200000001	33.56347284	91.231	0.34
PI601563	87916W	136.85669860000002	0.166553894	27.7848781	2.793	0.0
PI601564	HB8229	161.5888263	0.07239886599999999	34.07068833	21.063	0.0
PI601565	IBB14	168.55505300000004	0.09777235	33.48756443	140.0	0.09
PI601566	MBST	140.3591553	0.262924732	36.63518564	33.152	0.0
PI601567	PHH93	175.86066430000002	0.072132963	28.46928339	121.338	0.02
PI601570	PHP02	154.0536714	0.055529372	31.7791908	97.993	0.06
PI601571	PHR32	142.4759316	0.090026472	29.11189957	45.038	0.033333333
PI601573	PHT10	141.0226827	0.8635213079999999	29.32615721	37.828	0.0
PI601574	PHT60	132.1185356	0.054323746	35.60821359	105.0	0.025
PI601575	PHW52	138.47212439999998	0.083585264	25.49573009	140.007	0.03
PI601583	NS501	163.4230053	0.074478963	30.00956204	123.669	0.05
PI601584	OQ603	171.76292030000005	0.062506691	29.40111855	57.414	0.04
PI601610	H8431	154.2431426	0.107553179	31.93466512	72.331	0.03
PI601683	CR14	183.16652130000003	0.233815065	34.20527955	35.238	0.0
PI601685	WIL901	124.971202	0.026522416	24.29220327	7.28	0.0
PI601725	J8606	227.84083430000004	-0.074637098	16.20653663	45.03100000000001	0.0
PI601729	W8555	156.6071331	0.088509491	28.89777273	15.4	0.0
PI601745	4N506	110.5279378	0.031946476	16.43962171	2.59	0.0
PI601773	PHJ31	205.2146557	-0.079350243	41.51510923	63.238	0.03
PI601774	PHJ33	310.6038941	0.163248789	42.80796788	85.162	0.06
PI601775	PHJ70	203.0812198	0.066978306	37.90214119	30.618	0.0
PI601776	PHJ75	337.9484471	0.121847315	53.34051987	55.09	0.09
PI601777	PHK35	233.0260924	0.076574738	36.66791631	25.942	0.0
PI601778	PHM10	243.1962561	0.053863392	50.78888558	84.0	0.05
PI601779	PHM57	246.2219752	0.059484361	56.22625333	34.3	0.0
PI601782	PHN73	198.0573193	0.048515713	37.89901787	84.238	0.0575
PI601783	PHN82	241.3641559	-0.07959391099999999	34.21609821	7.301	0.0
PI601784	PHP55	135.5479159	-0.047174651	19.15251753	26.369	0.08
PI601787	PHR63	149.8907464	0.064987423	34.74181082	35.238	0.08
PI601789	PHV37	238.691811	-0.068963623	30.57300679	50.169	0.0
PI601790	PHW03	165.78908159999997	-0.03785551	31.922091100000006	72.33800000000002	0.02
PI601792	PHW43	131.93569250000002	0.07870930799999999	28.61253226	123.662	0.05
PI601808	2FACC	129.2834157	0.639597867	37.18024287	233.331	0.075
PI602956	ND287	135.25287869999997	0.056659037	26.17767455	23.793000000000006	0.01
PI603939	B42	150.1337841	0.107619534	32.60899106	17.773	0.03
PI604606	N527	163.33014340000003	0.124052974	34.18700666	49.7	0.16
PI606768	SD40	169.65954580000005	0.060029061	26.75231092	23.401	0.04
PI607512	N7A	76.61561641	-0.051995017	101.1295102	2.17	0.0
PI607521	A661	154.9494489	0.051320606	27.84922619	49.007	0.03
PI607522	A662	153.1611132	0.053567724	29.31988463	23.408	0.01
PI608765	B77	183.1141991	0.092653012	39.94895077	70.28	0.03
PI608766	B79	163.2706178	0.092174747	43.50701978	103.824	0.0525
PI608767	B84	180.98795790000003	0.092121474	31.32842153	9.59	0.02
PI608768	B87	292.1597195	-0.061486334	31.46230057	71.393	0.0
PI608774	B75	254.4101051	0.026101364	25.23784961	21.49	0.025
PI608777	B85	274.0355653	-0.062877737	108.9898864	45.03100000000001	0.02
PI610494	NY6371	245.6316437	-0.06323559299999999	53.15500092	98.28	0.045
PI638551	DE3	91.29614947	-0.075306905	85.59786686	21.063	0.0
PI638552	DE4	138.9742563	0.101909941	26.94772845	22.631	0.01
PI642029	LH299	151.3576493	0.115222924	29.8279431	53.669	0.0
PI644101	LH1	301.8930131	-0.041529711	61.36410187	25.732	0.01
